"","phylum","class","genus"
"OTU68","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"
"OTU69","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Methylophilaceae;NA"
"OTU70","Bacteria;Firmicutes","Bacteria;Firmicutes;Negativicutes","Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megamonas"
"OTU71","Bacteria;Patescibacteria","Bacteria;Patescibacteria;Saccharimonadia","Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;NA;NA"
"OTU72","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;NA"
"OTU73","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus"
"OTU74","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;NA"
"OTU75","Bacteria;Firmicutes","Bacteria;Firmicutes;Clostridia","Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;NA"
"OTU76","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;env.OPS 17;NA"
"OTU77","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio"
"OTU78","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"OTU79","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter"
"OTU80","Bacteria;Firmicutes","Bacteria;Firmicutes;Clostridia","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA"
"OTU81","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Rhodoblastus"
"OTU82","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium"
"OTU83","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Microscillaceae;uncultured"
"OTU84","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;NA"
"OTU85","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Rhodocyclaceae;Dechloromonas"
"OTU86","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus"
"OTU87","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;NA"
"OTU88","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria;SAR324 clade(Marine group B);NA;NA"
"OTU89","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;NA;NA"
"OTU90","Bacteria;Gemmatimonadetes","Bacteria;Gemmatimonadetes;Gemmatimonadetes","Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas"
"OTU91","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;NA"
"OTU92","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Pajaroellobacter"
"OTU93","Bacteria;Firmicutes","Bacteria;Firmicutes;Clostridia","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 2;Alkaliphilus"
"OTU94","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium"
"OTU95","Bacteria;Cyanobacteria","Bacteria;Cyanobacteria;Sericytochromatia","Bacteria;Cyanobacteria;Sericytochromatia;NA;NA;NA"
"OTU96","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Hydrogenophaga"
"OTU97","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Hyphomicrobium"
"OTU98","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Pantoea"
"OTU99","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;37-13;NA"
"OTU100","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;uncultured"
"OTU101","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Chromobacteriaceae;Vogesella"
"OTU102","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Pseudacidovorax"
"OTU103","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;NA;NA"
"OTU104","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Rhodopseudomonas"
"OTU105","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Sediminibacterium"
"OTU106","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter"
