"","D1a","D1b","D2a","D2b","D4a","D4b","D7a","D7b"
"OTU29",0,0,0,0,0,0.000419991600167997,0,0.000182215743440233
"OTU30",0,0,0,8.18844337691405e-05,3.00102034691795e-05,6.99986000279994e-05,5.8428279287175e-05,0.000291545189504373
"OTU31",0.295098115457397,0.329115764979639,0.180556840255296,0.281655157354587,0.0555788968249205,0.0887932241355173,0.0783815366637453,0.0612244897959184
"OTU32",0,0,0,0.000191063678794661,0,0.000174996500069999,5.8428279287175e-05,0.000583090379008746
"OTU33",0.00959120719599761,0.0098022105875509,0,5.45896225127603e-05,0.00219074485325011,0.00328993420131597,0.00242477359041776,0.00171282798833819
"OTU34",2.59221816108044e-05,2.9086678301338e-05,9.24983812783276e-05,2.72948112563802e-05,0.000450153052037693,0.000769984600307994,0.000642711072158925,0.00065597667638484
"OTU35",0.000311066179329652,5.8173356602676e-05,0.000786236240865785,2.72948112563802e-05,0.000120040813876718,0.000489990200195996,0.000993280747881975,0.00010932944606414
"OTU36",0,0,0,0,0,3.49993000139997e-05,0,0.00032798833819242
"OTU37",0.00624724576820385,0.0152705061082024,0.0114697992785126,0.0188061249556459,0.0099633875517676,0.211185776284474,0.0513876716330704,0.13134110787172
"OTU38",0,0,0,0,0,0,0.000496640373940987,0.000182215743440233
"OTU39",0.000103688726443217,0.000232693426410704,0.00240495791323652,0.00196522641045937,0.00105035712142128,0.00615987680246395,0.000438212094653812,0.00393586005830904
"OTU40",0,0,0.0109610581814818,0.000272948112563802,0.00891303043034632,0.00314993700125997,0.0164767747589833,0.00619533527696793
"OTU41",0.000103688726443217,0.000116346713205352,0.000416242715752474,0.000245653301307421,0,3.49993000139997e-05,0,3.64431486880466e-05
"OTU42",0,0,0,0,0,3.49993000139997e-05,0.00105170902716915,7.28862973760933e-05
"OTU43",0.00661015631075511,0.00799883653286795,0.0132272685228009,0.0174686792040833,0.000930316307544565,0.00157496850062999,0.00192813321647677,0.00160349854227405
"OTU44",0,0,0,0.000163768867538281,0.000240081627753436,0.000279994400111998,0.000788781770376862,0.000473760932944606
"OTU45",0,0,0,0,0,0,0.000759567630733275,0
"OTU46",0.000207377452886435,0.00029086678301338,0,0,0.000120040813876718,3.49993000139997e-05,0,3.64431486880466e-05
"OTU47",0,0,0,0,0,3.49993000139997e-05,5.8428279287175e-05,3.64431486880466e-05
"OTU48",0.00334396142779376,0.00322862129144852,0.0148922393858107,0.0187788301443896,0.000720244883260309,0.000664986700265995,0.0009348524685948,0.000400874635568513
"OTU49",0.000103688726443217,2.9086678301338e-05,0.000462491906391638,0.000272948112563802,0.000120040813876718,0.000104997900041999,0.000613496932515337,7.28862973760933e-05
"OTU50",0.000673976721880914,0.000668993600930774,0,0,0.000150051017345898,0.000209995800083998,0.000321355536079462,0.00021865889212828
"OTU51",0.00282551779557768,0.000116346713205352,0.011562297659791,0.000545896225127603,0.0195066322549667,0.00181996360072799,0.0226117440841367,0.00517492711370262
"OTU52",0.000155533089664826,2.9086678301338e-05,4.62491906391638e-05,0.000245653301307421,0.000360122441630154,0.000209995800083998,0.000993280747881975,0.00043731778425656
"OTU53",0,0,0,0,3.00102034691795e-05,0,0.000175284837861525,3.64431486880466e-05
"OTU54",2.59221816108044e-05,0,0.000138747571917491,0,0.000690234679791129,0,0.0004674262342974,0.000364431486880466
"OTU55",0.000518443632216087,0.00043630017452007,0.00189621681620572,0.00335726178453476,6.0020406938359e-05,3.49993000139997e-05,0.000146070698217937,3.64431486880466e-05
"OTU56",0,0,0,0,0,0,0,0.000619533527696793
